epoch, iteration, loss, train-acc, lr, time 
1,10,2.302,10.156,0.1,19.89096594
1,20,2.282,15,0.1,6.64934397
1,30,2.279,16.094,0.1,6.63409305
1,40,2.267,16.641,0.1,6.63483715
1,50,2.263,17.812,0.1,6.62772822
1,60,2.248,17.969,0.1,6.61981916
1,70,2.247,19.141,0.1,6.63160396
1,80,2.238,19.453,0.1,6.63431096
1,90,2.223,22.969,0.1,6.63686609
1,100,2.225,22.188,0.1,6.62934017
1,110,2.238,19.219,0.1,6.62075806
1,120,2.24,19.922,0.1,6.63611507
1,130,2.222,21.953,0.1,6.61409283
1,140,2.215,23.438,0.1,6.62572098
1,150,2.228,21.328,0.1,6.61978507
1,160,2.219,22.578,0.1,6.62103295
1,170,2.206,24.297,0.1,6.61385703
1,180,2.218,23.125,0.1,6.62184906
1,190,2.203,25,0.1,6.61222792
1,200,2.212,23.359,0.1,6.61512303
1,210,2.199,23.984,0.1,6.61592984
1,220,2.215,23.594,0.1,6.62375116
1,230,2.182,27.5,0.1,6.61487794
1,240,2.222,22.266,0.1,6.60534596
1,250,2.225,21.172,0.1,6.62752509
1,260,2.194,25.547,0.1,6.62022901
1,270,2.218,22.969,0.1,6.63198113
1,280,2.199,25.156,0.1,6.62051797
1,290,2.218,22.891,0.1,6.62052798
1,300,2.202,25.078,0.1,6.62732792
1,310,2.176,26.719,0.1,6.62175918
1,320,2.209,22.656,0.1,6.62707305
1,330,2.176,28.203,0.1,6.62390995
1,340,2.204,24.062,0.1,6.61566496
1,350,2.192,26.406,0.1,6.62569404
1,360,2.197,25.625,0.1,6.60099506
1,370,2.215,23.516,0.1,6.61944795
1,380,2.187,26.484,0.1,6.61905098
1,390,2.202,25,0.1,6.61890006
2,10,2.176,27.812,0.0999999,16.82073116
2,20,2.169,28.359,0.0999999,6.62088799
2,30,2.177,27.266,0.0999999,6.62793922
2,40,2.189,27.031,0.0999999,6.62452006
2,50,2.195,24.766,0.0999999,6.63320899
2,60,2.181,26.797,0.0999999,6.612679
2,70,2.164,28.828,0.0999999,6.62070799
2,80,2.194,25.781,0.0999999,6.6160059
