epoch, iteration, loss, train-acc, lr, time
1,10,2.299,10.938,0.1,7.0704751
1,20,2.289,14.297,0.1,6.76565504
1,30,2.28,14.922,0.1,6.78610802
1,40,2.289,14.844,0.1,6.79137921
1,50,2.267,15.781,0.1,6.78198099
1,60,2.267,16.953,0.1,6.79439092
1,70,2.277,15.234,0.1,6.77641106
1,80,2.273,15.547,0.1,6.77667618
1,90,2.262,17.578,0.1,6.78104687
1,100,2.255,17.812,0.1,6.76032305
1,110,2.254,16.797,0.1,6.79854107
1,120,2.238,20.547,0.1,6.76693702
1,130,2.253,19.062,0.1,6.79418421
1,140,2.252,20.234,0.1,6.78073788
1,150,2.246,20.391,0.1,6.79360008
1,160,2.242,21.016,0.1,6.7857511
1,170,2.238,21.094,0.1,6.78059697
1,180,2.217,22.812,0.1,6.79648399
1,190,2.236,21.406,0.1,6.78511405
1,200,2.236,21.406,0.1,6.78204298
1,210,2.215,22.891,0.1,6.78031397
1,220,2.222,22.578,0.1,6.77017307
1,230,2.227,22.266,0.1,6.76856995
1,240,2.226,22.734,0.1,6.78451204
1,250,2.253,19.062,0.1,6.76731491
1,260,2.223,22.578,0.1,6.78420019
1,270,2.23,21.719,0.1,6.76735592
1,280,2.208,24.375,0.1,6.78367996
1,290,2.215,22.969,0.1,6.75973487
1,300,2.21,23.594,0.1,6.76456404
1,310,2.209,23.828,0.1,6.78066993
1,320,2.205,23.906,0.1,6.78389287
1,330,2.225,21.719,0.1,6.78467798
1,340,2.225,21.875,0.1,6.76980805
1,350,2.21,23.672,0.1,6.77683187
1,360,2.217,22.578,0.1,6.77508616
1,370,2.195,25.234,0.1,6.7658639
1,380,2.219,23.125,0.1,6.77311587
1,390,2.204,24.297,0.1,6.75229001
2,10,2.198,25.312,0.0999999,7.44688201
2,20,2.186,26.094,0.0999999,6.76767802
2,30,2.199,24.531,0.0999999,6.79770684
2,40,2.197,25.156,0.0999999,6.78912687
2,50,2.189,25.703,0.0999999,6.81096506
2,60,2.191,26.328,0.0999999,6.77995586
2,70,2.204,24.531,0.0999999,6.77917385
2,80,2.197,25.625,0.0999999,6.78116393
2,90,2.173,28.203,0.0999999,6.79059196
2,100,2.184,27.188,0.0999999,6.79658699
2,110,2.201,24.688,0.0999999,6.78304791
2,120,2.213,23.984,0.0999999,6.76951599
2,130,2.181,26.953,0.0999999,6.77898598
2,140,2.191,26.016,0.0999999,6.80120778
2,150,2.199,25.469,0.0999999,6.79254317
2,160,2.176,26.875,0.0999999,6.78582692
2,170,2.173,27.578,0.0999999,6.79682493
2,180,2.167,27.891,0.0999999,6.78584099
2,190,2.197,25.156,0.0999999,6.78141403
2,200,2.188,26.719,0.0999999,6.79321504
2,210,2.198,25.156,0.0999999,6.75966883
2,220,2.161,28.125,0.0999999,6.77963519
2,230,2.174,27.812,0.0999999,6.76736903
2,240,2.182,26.875,0.0999999,6.77454901
2,250,2.176,27.812,0.0999999,6.79728389
2,260,2.202,24.375,0.0999999,6.78728008
2,270,2.193,25.469,0.0999999,6.78953505
2,280,2.182,27.422,0.0999999,6.78194809
2,290,2.175,27.578,0.0999999,6.768085
2,300,2.156,29.766,0.0999999,6.78180385
2,310,2.16,29.297,0.0999999,6.80606413
2,320,2.168,28.281,0.0999999,6.79070902
2,330,2.177,27.422,0.0999999,6.7854619
2,340,2.195,25.625,0.0999999,6.80470896
2,350,2.175,27.891,0.0999999,6.79825401
2,360,2.17,28.125,0.0999999,6.78157496
2,370,2.183,26.641,0.0999999,6.7820611
2,380,2.175,27.344,0.0999999,6.79977202
2,390,2.181,27.344,0.0999999,6.78389907
3,10,2.156,29.688,0.0999998,7.45346189
3,20,2.154,29.375,0.0999998,6.78381896
3,30,2.16,28.672,0.0999998,6.77839303
3,40,2.158,29.609,0.0999998,6.76657701
3,50,2.162,29.141,0.0999998,6.79811001
3,60,2.157,29.844,0.0999998,6.77948213
3,70,2.164,29.375,0.0999998,6.79065299
3,80,2.163,29.297,0.0999998,6.7922709
3,90,2.167,28.672,0.0999998,6.78331399
3,100,2.161,29.453,0.0999998,6.76996517
3,110,2.173,27.188,0.0999998,6.77792001
3,120,2.17,27.734,0.0999998,6.77024412
3,130,2.17,27.734,0.0999998,6.78793406
3,140,2.165,28.906,0.0999998,6.77403593
3,150,2.18,27.109,0.0999998,6.75649595
3,160,2.175,27.969,0.0999998,6.77367806
3,170,2.173,28.438,0.0999998,6.79523301
3,180,2.16,29.609,0.0999998,6.80242395
3,190,2.143,30.859,0.0999998,6.80355716
3,200,2.152,30.156,0.0999998,6.78297496
3,210,2.136,32.578,0.0999998,6.79316401
3,220,2.161,29.062,0.0999998,6.780195
3,230,2.136,31.953,0.0999998,6.76511812
3,240,2.135,31.875,0.0999998,6.79676318
3,250,2.128,32.891,0.0999998,6.75797915
3,260,2.104,35.078,0.0999998,6.79188013
3,270,2.147,30.234,0.0999998,6.78990197
3,280,2.141,31.562,0.0999998,6.80383205
3,290,2.138,31.562,0.0999998,6.76897097
3,300,2.154,29.688,0.0999998,6.78567004
