epoch, iteration, loss, train-acc, lr, time 
1 ,    10 ,  2.309 ,  11.484 , 1.00000000 , 7.04009509
1 ,    20 ,  2.309 ,  11.719 , 1.00000000 , 6.72335196
1 ,    30 ,  2.295 ,  13.750 , 1.00000000 , 6.73543811
1 ,    40 ,  2.288 ,  14.609 , 1.00000000 , 6.73162699
1 ,    50 ,  2.283 ,  15.000 , 1.00000000 , 6.74758410
1 ,    60 ,  2.263 ,  17.266 , 1.00000000 , 6.74470401
1 ,    70 ,  2.280 ,  15.391 , 1.00000000 , 6.74349689
1 ,    80 ,  2.251 ,  17.422 , 1.00000000 , 6.76751995
1 ,    90 ,  2.247 ,  17.969 , 1.00000000 , 6.75514102
1 ,   100 ,  2.248 ,  19.375 , 1.00000000 , 6.75588799
1 ,   110 ,  2.224 ,  21.797 , 1.00000000 , 6.76136112
1 ,   120 ,  2.237 ,  21.484 , 1.00000000 , 6.76724696
1 ,   130 ,  2.235 ,  20.781 , 1.00000000 , 6.75734901
1 ,   140 ,  2.220 ,  23.203 , 1.00000000 , 6.76131701
1 ,   150 ,  2.227 ,  22.031 , 1.00000000 , 6.75224900
1 ,   160 ,  2.239 ,  21.406 , 1.00000000 , 6.74966502
1 ,   170 ,  2.215 ,  22.969 , 1.00000000 , 6.76208282
1 ,   180 ,  2.226 ,  21.250 , 1.00000000 , 6.75693703
1 ,   190 ,  2.193 ,  25.547 , 1.00000000 , 6.75000787
1 ,   200 ,  2.194 ,  25.391 , 1.00000000 , 6.76335001
1 ,   210 ,  2.208 ,  23.906 , 1.00000000 , 6.76949596
1 ,   220 ,  2.205 ,  24.844 , 1.00000000 , 6.74032998
1 ,   230 ,  2.184 ,  26.953 , 1.00000000 , 6.75235605
1 ,   240 ,  2.205 ,  23.984 , 1.00000000 , 6.75098419
1 ,   250 ,  2.209 ,  23.984 , 1.00000000 , 6.74349093
1 ,   260 ,  2.196 ,  26.250 , 1.00000000 , 6.74725604
1 ,   270 ,  2.227 ,  21.328 , 1.00000000 , 6.75068498
1 ,   280 ,  2.200 ,  25.781 , 1.00000000 , 6.75286889
1 ,   290 ,  2.214 ,  23.516 , 1.00000000 , 6.74871492
1 ,   300 ,  2.222 ,  23.203 , 1.00000000 , 6.74744892
1 ,   310 ,  2.211 ,  24.219 , 1.00000000 , 6.74564195
1 ,   320 ,  2.215 ,  23.281 , 1.00000000 , 6.73548698
1 ,   330 ,  2.228 ,  20.625 , 1.00000000 , 6.73864579
1 ,   340 ,  2.191 ,  27.266 , 1.00000000 , 6.74313188
1 ,   350 ,  2.200 ,  25.000 , 1.00000000 , 6.73765302
1 ,   360 ,  2.174 ,  27.578 , 1.00000000 , 6.74485016
1 ,   370 ,  2.199 ,  24.688 , 1.00000000 , 6.73700500
1 ,   380 ,  2.164 ,  29.141 , 1.00000000 , 6.73446989
1 ,   390 ,  2.171 ,  27.969 , 1.00000000 , 6.72367692
2 ,    10 ,  2.170 ,  28.359 , 0.99999990 , 7.42841196
2 ,    20 ,  2.169 ,  28.359 , 0.99999990 , 6.74126387
2 ,    30 ,  2.171 ,  27.734 , 0.99999990 , 6.73248005
2 ,    40 ,  2.185 ,  26.328 , 0.99999990 , 6.73304009
2 ,    50 ,  2.176 ,  28.359 , 0.99999990 , 6.72661495
2 ,    60 ,  2.169 ,  28.594 , 0.99999990 , 6.73808694
2 ,    70 ,  2.166 ,  28.828 , 0.99999990 , 6.73308897
2 ,    80 ,  2.173 ,  28.438 , 0.99999990 , 6.72550702
2 ,    90 ,  2.196 ,  25.312 , 0.99999990 , 6.72542500
2 ,   100 ,  2.203 ,  25.312 , 0.99999990 , 6.72929215
2 ,   110 ,  2.187 ,  26.484 , 0.99999990 , 6.72144604
2 ,   120 ,  2.193 ,  26.016 , 0.99999990 , 6.74148393
2 ,   130 ,  2.187 ,  27.031 , 0.99999990 , 6.72541022
2 ,   140 ,  2.167 ,  28.516 , 0.99999990 , 6.72659016
2 ,   150 ,  2.179 ,  27.578 , 0.99999990 , 6.72515512
2 ,   160 ,  2.168 ,  28.516 , 0.99999990 , 6.71677279
2 ,   170 ,  2.172 ,  27.500 , 0.99999990 , 6.72276998
2 ,   180 ,  2.188 ,  25.234 , 0.99999990 , 6.71160889
2 ,   190 ,  2.181 ,  27.031 , 0.99999990 , 6.74520802
2 ,   200 ,  2.183 ,  27.734 , 0.99999990 , 6.74792290
2 ,   210 ,  2.179 ,  27.500 , 0.99999990 , 6.76389980
2 ,   220 ,  2.190 ,  26.172 , 0.99999990 , 6.73112297
2 ,   230 ,  2.160 ,  29.219 , 0.99999990 , 6.75353885
2 ,   240 ,  2.186 ,  26.875 , 0.99999990 , 6.72302103
2 ,   250 ,  2.202 ,  24.609 , 0.99999990 , 6.73896003
2 ,   260 ,  2.195 ,  24.609 , 0.99999990 , 6.74290800
2 ,   270 ,  2.182 ,  26.797 , 0.99999990 , 6.73937798
2 ,   280 ,  2.194 ,  26.094 , 0.99999990 , 6.74193597
2 ,   290 ,  2.194 ,  25.781 , 0.99999990 , 6.71827197
2 ,   300 ,  2.174 ,  27.969 , 0.99999990 , 6.75543809
2 ,   310 ,  2.171 ,  28.516 , 0.99999990 , 6.72509003
2 ,   320 ,  2.167 ,  29.141 , 0.99999990 , 6.72699881
2 ,   330 ,  2.201 ,  24.766 , 0.99999990 , 6.73537779
2 ,   340 ,  2.209 ,  24.062 , 0.99999990 , 6.72998405
2 ,   350 ,  2.221 ,  23.594 , 0.99999990 , 6.73721600
2 ,   360 ,  2.194 ,  26.172 , 0.99999990 , 6.71404409
2 ,   370 ,  2.173 ,  28.516 , 0.99999990 , 6.74347591
2 ,   380 ,  2.172 ,  28.672 , 0.99999990 , 6.72911882
2 ,   390 ,  2.186 ,  26.719 , 0.99999990 , 6.71772289
